DP,meanLW,sdLW,cvLW
DP01,0.011425714762830982,0.0014577313585998832,12.758338439727485
DP02,0.059420798385414024,0.014055691874442966,23.654498519651675
DP03,0.011421504550440822,0.0014005255946943909,12.262181295898854
DP04,0.16144012855309314,0.10661343076810872,66.03899025826566
DP05,0.12891616904932085,0.005497377258913697,4.2643039266940255
DP06,0.1535936463890492,0.049550730913531675,32.26092490051366
DP07,0.48426044006900554,0.2898886476049627,59.86213690378147
DP08,0.05522477982446132,0.0161009945713001,29.155380288484757
DP09,0.11050910499480474,0.09244437716450973,83.65317696569502
DP10,0.33163173184616024,0.0709262528304837,21.387052570525878
DP11,0.03317975800678573,0.00981146482568051,29.570634070549662
DP12,0.13376037080769188,0.0377753372780637,28.24105304879391
DP13,0.1365913514140158,0.029370880899947466,21.502738347556672
DP14,0.3255228160720066,0.07596074445179242,23.334998562739663
DP15,0.06474605687308914,0.010107105111325168,15.610379379761202
DP16,0.05803695685323135,0.005908736444285691,10.180989432695778
DP17,NA,NA,NA
DP18,0.1602196662631362,0.020131072096082094,12.564669847095985
DP19,NA,NA,NA
DP20,NA,NA,NA
DP21,0.0898120225259651,0.02109194200119327,23.484541833021837
DP22,0.050441856264170574,0.012113816892799289,24.01540662849054
DP23,0.04642129868829632,0.011431124175168759,24.62474014767441
DP24,0.24575640508810273,0.060473235343647146,24.60698239867552
DP25,0.458317531657239,0.23239090529016002,50.70521837771585
DP26,0.017392336869255984,0.0023362329940560733,13.432542226029305
DP27,0.10765714928737416,0.010546125989093897,9.796029394148864
DP28,0.10819131884049821,0.012947543708605963,11.96726673393636
DP29,0.1772480888234207,0.2752810385546129,155.30832539969177
DP30,0.09089493112762938,0.007679164982392907,8.448397382699229
DP31,0.030988886797237804,0.0044700842734435205,14.42479784024369
DP32,0.05455932384022444,0.00355359475722482,6.513267590396519
DP33,NA,NA,NA
DP34,0.024889987766094163,0.0027518196706608766,11.055930185749157
DP35,NA,NA,NA
DP36,0.06745629523147917,0.004861079255134167,7.206264794787744
