SiteID,meanLW,sdLW,cvLW
S01,0.03391884701182238,0.035930342328553834,105.93031748994991
S02,0.04652309300122213,0.01632515057352686,35.09042396019974
S03,0.13597461677394893,0.09992082934975496,73.48491337605194
S04,0.12891616904932085,0.005497377258913697,4.2643039266940255
S05,0.25614079003746404,0.2558069619578488,99.86967008278283
S06,0.33163173184616024,0.0709262528304837,21.387052570525878
S07,0.10413356886178964,0.05530744877059105,53.11202657809354
S08,0.3255228160720066,0.07596074445179242,23.334998562739663
S09,0.06161514353048883,0.008834182395994988,14.337680462634316
S10,NA,NA,NA
S11,0.1602196662631362,0.020131072096082094,12.564669847095985
S12,NA,NA,NA
S13,NA,NA,NA
S14,0.344951597487033,0.19241187543029525,55.77938378369973
S15,0.10765714928737416,0.010546125989093897,9.796029394148864
S16,0.09417030190445366,0.13611915105528902,144.54573076913056
S17,NA,NA,NA
S18,0.06745629523147917,0.004861079255134167,7.206264794787744
