MRbrainregion,meanRatio,sdRatio,cvRatio
Rhippocampus,0.053651214311046705,0.06268841997499312,116.84436369240886
Lhippocampus,0.049619576483588564,0.0673922869149049,135.81794060091298
Rstriatum,0.042514128730147524,0.05353375108050513,125.91990634526023
Lstriatum,0.01892058277644003,0.009256862860700045,48.92482948372352
NA,NA,NA,NA
