AnimalSpecies,MRbrainregion,meanLW,sdLW,cvLW,meanSNR,sdSNR,cvSNR,meanRatio,sdRatio,cvRatio,meanProduct,sdProduct,cvProduct
Rat,Rhippocampus,0.044529309117279155,0.05968086038458527,134.02601919423606,0.21897385482833912,0.04667493364268922,21.315299801101485,0.030278925719916402,0.013889928239840626,45.87325312768387,2.1312132161746447,1.43160081712317,67.17304520533979
Rat,Lhippocampus,0.06693629626279014,0.12404408878263581,185.31663045060333,0.3284119299232887,0.2839381550450083,86.45792956161223,0.06003590249976262,0.08980202577918113,149.5805377116405,2.409373770732665,1.20344313906703,49.948378856182025
Rat,Lstriatum,0.03870509274276706,0.011567780312401741,29.886972211333735,0.16691138303319866,0.045315710073105336,27.14956239029668,0.019202402757900715,0.004630520574851704,24.11427691228122,1.6108975476767207,0.885663245237928,54.979489323529926
Rat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mouse,Rhippocampus,0.19062022594706773,0.1489773646394151,78.1540174444992,0.6322520032791187,0.5531138590391024,87.48313270190155,0.06570255061584826,0.07386914163590809,112.42964077271294,6.9896601610021145,5.185360016423956,74.18615350364225
Mouse,Lhippocampus,0.126414620981785,0.057084743434661175,45.15675717833816,0.4820690402916801,0.16555078566655868,34.34171702177571,0.037867824055084494,0.020190973516573455,53.31960317340289,7.338505268116877,3.8906424811146296,53.01682480243013
Mouse,Rstriatum,0.28975183914482655,0.29724517359950003,102.58612144681784,0.5551920136550188,0.5534626266089996,99.68850649802506,0.042514128730147524,0.05353375108050513,125.91990634526023,8.96227419507783,8.979998596203144,100.19776678038983
Mouse,Lstriatum,0.21723302302075556,0.13315707885579864,61.29688617511718,0.2563306358821609,0.06388240902201109,24.921878261706812,0.018573727414642263,0.013149289259377717,70.79510195143551,6.718433075540093,4.995581408168432,74.35634696363837
