MRbrainregion,meanLW,sdLW,cvLW
Rhippocampus,0.140919192386418,0.14350201403042617,101.83283880660184
Lhippocampus,0.09488394281749857,0.10232706485081029,107.84444850445134
Rstriatum,0.28975183914482655,0.29724517359950003,102.58612144681784
Lstriatum,0.11873485459152053,0.1258368641775682,105.98140252117247
NA,NA,NA,NA
