MRbrainregion,meanSNR,sdSNR,cvSNR
Rhippocampus,0.49165222081648235,0.4901365796667043,99.69172494588531
Lhippocampus,0.400612258891569,0.24684116982168133,61.615980126182855
Rstriatum,0.5551920136550188,0.5534626266089996,99.68850649802506
Lstriatum,0.20699587568963002,0.06998047075220272,33.807664292370525
NA,NA,NA,NA
