MRsequence,meanLW,sdLW,cvLW
PRESS,0.13415721680885775,0.15660785713404252,116.73457519409605
SPECIAL,0.09259478938401527,0.05181552252951028,55.959436674797644
sLASER,0.17508843732622437,0.21652704365413156,123.6672432290311
STEAM,0.14725311006839928,0.1516676178974486,102.99790464663107
LASER,0.11493666236760258,0.05628013873266038,48.96621980605221
sSPECIAL,0.04829755889037097,0.011512448091983523,23.836500967088725
NA,NA,NA,NA
