MRbrainregion,meanProduct,sdProduct,cvProduct
Rhippocampus,5.336786458122666,4.866413723342276,91.18621780220425
Lhippocampus,4.725471703238499,3.7282786461835715,78.89749172825385
Rstriatum,8.96227419507783,8.979998596203144,100.19776678038983
Lstriatum,3.900482439477543,4.218759858782336,108.15995006370098
NA,NA,NA,NA
