DP,meanRatio,sdRatio,cvRatio
DP01,0.037486068153926154,0.007937510953884808,21.17456256359461
DP02,0.03587996904892888,0.010426149535115746,29.05841284561252
DP03,0.037012175882637464,0.00842192553543929,22.75447291222358
DP04,0.0309570873467409,0.01875852702945746,60.59525826622161
DP05,0.06147728269492954,0.0033969194322520614,5.525487274882806
DP06,0.2047545877822347,0.06915724375237144,33.77567482195961
DP07,0.07818511942748249,0.05114262744318617,65.4122265434684
DP08,0.015147669496853521,0.0049751216089294475,32.84413889518042
DP09,0.01859763322271457,0.0126721136163707,68.13831343277258
DP10,0.027199674716713147,0.009551754680984167,35.11716511490111
DP11,0.019497099824571207,0.004314570284420019,22.129292680661074
DP12,0.03937785880772058,0.017175114214860343,43.61617095212125
DP13,0.036668925050218834,0.011143338857738395,30.389052426482003
DP14,0.007485234620425224,0.0038254494340554824,51.106606914055085
DP15,0.012445701562041191,0.004402811232450921,35.37615947564812
DP16,0.007439051540622889,0.0013729843903479441,18.45644411589842
DP17,NA,NA,NA
DP18,0.15601579793548367,0.02701067920792866,17.312784708570497
DP19,NA,NA,NA
DP20,NA,NA,NA
DP21,0.018774594708636228,0.005159128865084534,27.479308848735673
DP22,0.038531327202361486,0.009897926629341375,25.6879981770645
DP23,0.019057710069809365,0.005339299638988257,28.016480571013673
DP24,0.03809740409981891,0.012899889067571009,33.86028358722826
DP25,0.02734442084322242,0.020955250278991235,76.63446375089416
DP26,0.018061792966096103,0.002508364697122684,13.88768380764385
DP27,0.033523449699147646,0.005367798022455216,16.012069374207915
DP28,0.06723105869168042,0.009525827237882563,14.168789579184995
DP29,0.015615388297071054,0.012413303172999275,79.49404098601642
DP30,0.031510302341228806,0.004944265040779949,15.690947637499367
DP31,0.019347095445992064,0.004170200267266717,21.554658056595333
DP32,0.27982058638404306,0.03182886360160257,11.374739797706903
DP33,NA,NA,NA
DP34,0.0421995712058853,0.008684680572028793,20.580020895609472
DP35,NA,NA,NA
DP36,0.001747282218907558,1.7777983254514942e-4,10.174648984655812
