MRsequence,meanRatio,sdRatio,cvRatio
PRESS,0.026759352529937195,0.016461692986617454,61.51753099482072
SPECIAL,0.033286894258933705,0.013638108695449246,40.97140631192705
sLASER,0.06919152717896375,0.08730208067093102,126.17452487372385
STEAM,0.030995047944209608,0.020550183258215615,66.30150498623355
LASER,0.20907499298486626,0.06946182109978434,33.2233999428197
sSPECIAL,0.028145398065000354,0.012544582800415618,44.57063556693903
NA,NA,NA,NA
