CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS020","S01","DP03",4,"sub-04","Rat","Fischer-344",125,"M",395,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769296,2048,45271,3000,"FASTMAP-FASTESTMAP",5.46295937036869,90.2669999661785,16.5234617075482,"pass"
"compMRS021","S01","DP03",5,"sub-05","Rat","Fischer-344",120,"F",225,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769297,2048,45271,3000,"FASTMAP-FASTESTMAP",4.47442793306084,124.720661353366,27.8741021688661,"pass"
"compMRS022","S01","DP03",6,"sub-06","Rat","Fischer-344",125,"F",201,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769298,2048,45271,3000,"FASTMAP-FASTESTMAP",6.22143883407384,95.8888705121544,15.4126518108618,"pass"
"compMRS023","S01","DP03",7,"sub-07","Rat","Fischer-344",126,"M",400,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769299,2048,45271,3000,"FASTMAP-FASTESTMAP",5.80740139512822,101.548458335089,17.4860409029549,"pass"
"compMRS024","S01","DP03",8,"sub-08","Rat","Fischer-344",113,"M",354,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769300,2048,45271,3000,"FASTMAP-FASTESTMAP",4.62084388921384,113.430179363793,24.5475030283032,"pass"
"compMRS025","S03","DP04",1,"sub-01","Mouse","C57BL-6J",93,"M",28,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",60.7180684777979,41.6074168193827,0.68525593554737,"pass"
"compMRS026","S03","DP04",2,"sub-02","Mouse","C57BL-6J",100,"F",25,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",26.4413461535053,81.7645169689547,3.09229781624092,"pass"
"compMRS027","S03","DP04",3,"sub-03","Mouse","C57BL-6J",101,"M",34,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",25.2243800168994,89.0022889271147,3.52842325034298,"pass"
"compMRS028","S03","DP04",4,"sub-04","Mouse","C57BL-6J",93,"M",28,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",11.272191325888,108.565578424149,9.6312753470405,"pass"
"compMRS029","S03","DP04",5,"sub-05","Mouse","C57BL-6J",109,"F",23,"Bruker",9.4,"PRESS","Lhippocampus",6.6,512,"PV6.0.1","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.26,2500,"MAPSHIM",15.1510233253741,95.2799720787356,6.28868229112722,"pass"
